measurement_id,dataset_id,complex_id,value,error
0,0,59,0.0065622467387,0.0020436270838800003
1,0,1611,0.000542327407445,0.0002750243319909999
2,0,3,0.182457140697,0.07057670509
3,0,3,0.16815784093,0.05569219972799999
4,0,3,0.210355372655,0.10189474313900002
5,0,458,8.79265582077e-06,3.8139969545300004e-06
6,0,3,0.153882355717,0.04146192028599999
7,0,3,0.102303548392,0.04592934243700002
8,0,3,0.146283176843,0.028968916814999995
9,0,35,0.000349438481805,9.013274218199998e-05
10,0,3,0.113073697601,0.050545526079999986
11,0,3,0.150109893489,0.03529810535200001
12,0,155,0.00253535962758,0.0007008031219900002
13,0,1812,0.000891042109149,0.0001649509753250001
14,0,496,0.000489960069034,9.518945152099998e-05
15,0,3,0.209632609865,0.049522371403000004
16,0,3,0.155889869739,0.045318730288000014
17,0,652,3.65672320642e-05,1.14774173451e-05
18,0,3,0.284095449918,0.12613857776700002
19,0,7,0.000333864982195,0.00011674238787300002
20,0,3,0.148387276161,0.03532939817
21,0,3,0.163707438582,0.046961791810000014
22,0,3,0.145354444452,0.09108697936600002
23,0,203,0.0214625668952,0.007680178675
24,0,131,0.0173944666328,0.0069548669225000005
25,0,115,0.142825767793,0.03685100180499999
26,0,1081,0.0146599401651,0.003081109090099999
27,0,3,0.168014942331,0.03594920983400002
28,0,3,0.169072689907,0.04229065286700001
29,0,131,0.0183817452038,0.0045877346048
30,0,1606,0.000378854914286,0.00021172885999600003
31,0,718,4.04712698589e-05,1.1154474954100004e-05
32,0,3,0.137564398289,0.037709792105
33,0,187,0.00943998686735,0.0037946655039500007
34,0,131,0.0178839690413,0.022981207924499997
35,0,163,0.042781314348,0.020706097881
36,0,31,0.019407566134,0.0108817590838
37,0,3,0.142150956839,0.04753978040500001
38,0,134,0.00245627739627,0.0006737235771600001
39,0,3,0.117964528309,0.030749122732000006
40,0,637,0.0237822360966,0.0102821877957
41,0,119,0.106881030295,0.0320097604327
42,0,59,0.00639166481139,0.0036049437676900003
43,0,3,0.171523520337,0.034104290312999996
44,0,3,0.124187556472,0.06549783625399999
45,0,3,0.111519731932,0.05712534126600001
46,0,382,0.00172937121218,0.0005964890855100001
47,0,51,0.0603136020793,0.029349747435300007
48,0,3,0.119069055139,0.03933502401099999
49,0,3,0.133075041392,0.044360373765999994
50,0,3,0.132180318402,0.04392994185499999
51,0,3,0.153939805031,0.068053834146
52,0,43,0.0185424944273,0.0083215021282
53,0,1753,0.00260760244819,0.0007810222413199999
54,0,3,0.121081722643,0.053442848103
55,0,3,0.163809408244,0.036767372751000005
56,0,211,0.00175102098397,0.0005459668181199999
57,0,231,0.00237252948211,0.0006255974841
58,0,3,0.145563032507,0.078826581054
59,0,1510,0.00165190753065,0.00039547756344999996
60,0,3,0.201675148541,0.060441941517
61,0,1779,1.22644147831e-06,1.22644147831e-06
62,0,151,0.00886995896045,0.0016736687870499995
63,0,59,0.00583560922677,0.0027969520687900007
64,0,241,0.00228083961853,0.0006453124907100001
65,0,3,0.169767560451,0.03233821295799999
66,0,127,0.0666421480552,0.022901055204999993
67,0,3,0.0982198523459,0.045792527818100004
68,0,3,0.125336646345,0.035032036204
69,0,3,0.126730326524,0.02961361192300002
70,0,1633,1.90655967759e-05,3.5207967813e-06
71,0,1068,1.41228193927e-06,2.18701619274e-06
72,0,3,0.139091852231,0.072592744189
73,0,3,0.131425051401,0.04046754549500001
74,0,684,0.00086275264141,0.000427393414641
75,0,1804,0.00289675007903,0.0005561507494
76,0,1934,9.74117529345e-05,3.4945913223500007e-05
77,0,1463,4.30219778286e-05,1.2566202458300004e-05
78,0,870,0.0252595276461,0.0245727242196
79,0,3,0.146938419054,0.041992974749999995
80,0,3,0.174577337508,0.03228277408300001
81,0,3,0.141468105343,0.04564132037900001
82,0,3,0.156938658374,0.05575427708399999
83,0,3,0.12327356045,0.04275781527000001
84,0,75,0.126736234983,0.030400507618199984
85,0,3,0.151230086699,0.056591830974
86,0,3,0.160477157656,0.04738487408200001
87,0,207,0.000484778538951,0.00010125003228999999
88,0,3,0.136293571434,0.036570990948700005
89,0,1802,0.00187913866892,0.0007156632252900003
90,0,1697,0.000128402985778,2.2096869422999997e-05
91,0,38,0.0287213758832,0.0126740338017
92,0,429,0.000920897029612,0.000358757323598
93,0,1907,1.17127338104e-05,3.5772780151899997e-06
94,0,3,0.152026162973,0.03855301386599999
95,0,15,0.00302397504198,0.0010863933285100002
96,0,111,0.102563422689,0.034003442777
97,0,3,0.157690565873,0.03965097977000001
98,0,29,0.00549993454627,0.01891406846033
99,0,3,0.139677767405,0.053840492430000025
100,0,137,0.00500750827547,0.005487919229030001
101,0,3,0.186537487221,0.055734916120000005
102,0,99,0.065396015132,0.029725260126800004
103,0,3,0.105069376492,0.03941152159900001
104,0,3,0.132544988134,0.03413687572099999
105,0,3,0.126123938179,0.051034807727
106,0,1613,0.00020850167968,6.301128643000002e-05
107,0,1531,0.000143119971033,3.9212844245e-05
108,0,3,0.154474093653,0.04797278012799999
109,0,1946,4.03208211063e-05,6.536479999499999e-06
110,0,3,0.153166877016,0.04236165484600002
111,0,199,0.000105305016172,2.279690976499999e-05
112,0,1175,7.18956102078e-06,2.7521509508099997e-06
113,0,427,0.0013275390829,0.0003550791739
114,0,430,0.000828490179291,0.00034749764534900004
115,0,1003,9.83676889186e-07,9.83676889186e-07
116,0,3,0.172490378084,0.066024633359
117,0,14,0.00481272332216,0.0024608930584600003
118,0,1416,0.00165516619715,0.00032268497202000024
